County,County No State,Origin,Origin (2014-18 US),Origin (tooltip),State,County % by Origin,County N Imm,Number of Records,Round County N Imm,Round Total Imm Pop,Total Imm Pop,Total US Pop
"Brevard County, Florida",Brevard County,Haiti,Haiti,Haiti,Florida,0.002931539,1996,1,2000,680900,680871,329725481
"Brevard County, Florida",Brevard County,Honduras,Honduras,Honduras,Florida,0.000510232,349,1,,684000,684003,329725481
"Brevard County, Florida",Brevard County,Hong Kong,Hong Kong,Hong Kong,Florida,0.000183187,44,1,,240200,240192,329725481
"Brevard County, Florida",Brevard County,Hungary,Hungary,Hungary,Florida,0.001479064,97,1,,65600,65582,329725481
"Brevard County, Florida",Brevard County,India,India,India,Florida,0.000591524,1586,1,1600,2681200,2681209,329725481
"Brevard County, Florida",Brevard County,Indonesia,Indonesia,Indonesia,Florida,0.000817361,80,1,,97900,97876,329725481
"Brevard County, Florida",Brevard County,Iran,Iran,Iran,Florida,0.001071798,420,1,,391900,391865,329725481
"Brevard County, Florida",Brevard County,Iraq,Iraq,Iraq,Florida,0.000127599,30,1,,235100,235111,329725481
"Brevard County, Florida",Brevard County,Ireland,Ireland,Ireland,Florida,0.002962987,360,1,,121500,121499,329725481
"Brevard County, Florida",Brevard County,Israel,Israel,Israel,Florida,0.000839505,118,1,,140600,140559,329725481
"Brevard County, Florida",Brevard County,Italy,Italy,Italy,Florida,0.002379516,765,1,,321500,321494,329725481
"Brevard County, Florida",Brevard County,Jamaica,Jamaica,Jamaica,Florida,0.007813812,6142,1,6100,786000,786044,329725481
"Brevard County, Florida",Brevard County,Japan,Japan,Japan,Florida,0.001406535,486,1,,345500,345530,329725481
"Brevard County, Florida",Brevard County,Jordan,Jordan,Jordan,Florida,0.0005045,44,1,,87200,87215,329725481
"Brevard County, Florida",Brevard County,Kazakhstan,Kazakhstan,Kazakhstan,Florida,0.001326729,45,1,,33900,33918,329725481
"Brevard County, Florida",Brevard County,Kenya,Kenya,Kenya,Florida,0.000543313,82,1,,150900,150926,329725481
"Brevard County, Florida",Brevard County,Korea,Korea,Korea,Florida,0.000952398,986,1,,1035300,1035281,329725481
"Brevard County, Florida",Brevard County,Kuwait,Kuwait,Kuwait,Florida,0,0,1,,33700,33670,329725481
