County,County No State,Origin,Origin (2014-18 US),Origin (tooltip),State,County % by Origin,County N Imm,Number of Records,Round County N Imm,Round Total Imm Pop,Total Imm Pop,Total US Pop
"Marion County, Florida",Marion County,Central America,Central America,Central America,Florida,0.000321209,4642,1,4600,14451700,14451651,329725481
"Marion County, Florida",Marion County,"Central America, excluding Mexico","Central America, excluding Mexico","Central America, excl. Mexico",Florida,0.000575056,2071,1,2100,3601400,3601391,329725481
"Marion County, Florida",Marion County,Chile,Chile,Chile,Florida,0.000220332,23,1,,104400,104388,329725481
"Marion County, Florida",Marion County,China,China,China,Florida,8.95E-05,252,1,,2815400,2815423,329725481
"Marion County, Florida",Marion County,"China, excluding Hong Kong and Taiwan","China, excluding Hong Kong and Taiwan","China, excl. Hong Kong and Taiwan",Florida,9.88E-05,217,1,,2197400,2197387,329725481
"Marion County, Florida",Marion County,"China, excluding Taiwan","China, excluding Taiwan","China, excl. Taiwan",Florida,9.56E-05,233,1,,2437600,2437579,329725481
"Marion County, Florida",Marion County,Colombia,Colombia,Colombia,Florida,0.002851645,2377,1,2400,833600,833554,329725481
"Marion County, Florida",Marion County,Congo,Congo,Congo,Florida,0,0,1,,32100,32128,329725481
"Marion County, Florida",Marion County,Costa Rica,Costa Rica,Costa Rica,Florida,0.000829457,79,1,,95200,95243,329725481
"Marion County, Florida",Marion County,Croatia,Croatia,Croatia,Florida,0,0,1,,38500,38451,329725481
"Marion County, Florida",Marion County,Cuba,Cuba,Cuba,Florida,0.00188243,2472,1,2500,1313200,1313196,329725481
"Marion County, Florida",Marion County,Czechoslovakia (includes Czech Republic and Slovakia),Czechoslovakia (includes Czech Republic and Slovakia),Czechoslovakia (incl. Czech Republic & Slovakia),Florida,0.001150104,76,1,,66100,66081,329725481
"Marion County, Florida",Marion County,Democratic Republic of Congo (Zaire),Democratic Republic of Congo (Zaire),Democratic Republic of Congo (Zaire),Florida,0,0,1,,55700,55728,329725481
"Marion County, Florida",Marion County,Denmark,Denmark,Denmark,Florida,0.001076538,31,1,,28800,28796,329725481
"Marion County, Florida",Marion County,Dominica,Dominica,Dominica,Florida,0.00164271,56,1,,34100,34090,329725481
"Marion County, Florida",Marion County,Dominican Republic,Dominican Republic,Dominican Republic,Florida,0.000733461,881,1,,1201200,1201155,329725481
"Marion County, Florida",Marion County,Eastern Africa,Eastern Africa,Eastern Africa,Florida,0.000162707,118,1,,725200,725232,329725481
"Marion County, Florida",Marion County,Eastern Asia,Eastern Asia,Eastern Asia,Florida,0.000155228,654,1,,4213200,4213150,329725481
"Marion County, Florida",Marion County,Eastern Europe,Eastern Europe,Eastern Europe,Florida,0.000225581,498,1,,2207600,2207629,329725481
"Marion County, Florida",Marion County,Ecuador,Ecuador,Ecuador,Florida,0.000590651,273,1,,462200,462202,329725481
"Marion County, Florida",Marion County,Egypt,Egypt,Egypt,Florida,4.70E-05,10,1,,212900,212876,329725481
"Marion County, Florida",Marion County,El Salvador,El Salvador,El Salvador,Florida,0.00018267,255,1,,1396000,1395958,329725481
"Marion County, Florida",Marion County,Eritrea,Eritrea,Eritrea,Florida,0,0,1,,50600,50569,329725481
"Marion County, Florida",Marion County,Ethiopia,Ethiopia,Ethiopia,Florida,0,0,1,,266400,266439,329725481
"Marion County, Florida",Marion County,Europe,Europe,Europe,Florida,0.001006525,4876,1,4900,4844400,4844388,329725481
"Marion County, Florida",Marion County,Fiji,Fiji,Fiji,Florida,0,0,1,,46200,46174,329725481
"Marion County, Florida",Marion County,France,France,France,Florida,0.000746527,138,1,,184900,184856,329725481
"Marion County, Florida",Marion County,Germany,Germany,Germany,Florida,0.001790705,974,1,,543900,543920,329725481
"Marion County, Florida",Marion County,Ghana,Ghana,Ghana,Florida,0,0,1,,188200,188168,329725481
"Marion County, Florida",Marion County,Greece,Greece,Greece,Florida,0.000795551,97,1,,121900,121928,329725481
"Marion County, Florida",Marion County,Grenada,Grenada,Grenada,Florida,0.000442209,16,1,,36200,36182,329725481
"Marion County, Florida",Marion County,Guatemala,Guatemala,Guatemala,Florida,0.000410457,417,1,,1015900,1015942,329725481
"Marion County, Florida",Marion County,Guyana,Guyana,Guyana,Florida,0.004006096,1125,1,1100,280800,280822,329725481
"Marion County, Florida",Marion County,Haiti,Haiti,Haiti,Florida,0.001116217,760,1,,680900,680871,329725481
"Marion County, Florida",Marion County,Honduras,Honduras,Honduras,Florida,0.000600875,411,1,,684000,684003,329725481
"Marion County, Florida",Marion County,Hong Kong,Hong Kong,Hong Kong,Florida,6.66E-05,16,1,,240200,240192,329725481
"Marion County, Florida",Marion County,Hungary,Hungary,Hungary,Florida,0.002165228,142,1,,65600,65582,329725481
"Marion County, Florida",Marion County,India,India,India,Florida,0.000372593,999,1,,2681200,2681209,329725481
"Marion County, Florida",Marion County,Indonesia,Indonesia,Indonesia,Florida,0.001839062,180,1,,97900,97876,329725481
"Marion County, Florida",Marion County,Iran,Iran,Iran,Florida,3.83E-05,15,1,,391900,391865,329725481
"Marion County, Florida",Marion County,Iraq,Iraq,Iraq,Florida,0,0,1,,235100,235111,329725481
"Marion County, Florida",Marion County,Ireland,Ireland,Ireland,Florida,0.00363789,442,1,,121500,121499,329725481
"Marion County, Florida",Marion County,Israel,Israel,Israel,Florida,0.000853734,120,1,,140600,140559,329725481
"Marion County, Florida",Marion County,Italy,Italy,Italy,Florida,0.000830498,267,1,,321500,321494,329725481
"Marion County, Florida",Marion County,Jamaica,Jamaica,Jamaica,Florida,0.0027085,2129,1,2100,786000,786044,329725481
"Marion County, Florida",Marion County,Japan,Japan,Japan,Florida,0.000541198,187,1,,345500,345530,329725481
"Marion County, Florida",Marion County,Jordan,Jordan,Jordan,Florida,0,0,1,,87200,87215,329725481
"Marion County, Florida",Marion County,Kazakhstan,Kazakhstan,Kazakhstan,Florida,0,0,1,,33900,33918,329725481
"Marion County, Florida",Marion County,Kenya,Kenya,Kenya,Florida,0.000490307,74,1,,150900,150926,329725481
"Marion County, Florida",Marion County,Korea,Korea,Korea,Florida,0.000207673,215,1,,1035300,1035281,329725481
"Marion County, Florida",Marion County,Kuwait,Kuwait,Kuwait,Florida,0.001722602,58,1,,33700,33670,329725481
"Marion County, Florida",Marion County,Laos,Laos,Laos,Florida,0.000207638,37,1,,178200,178195,329725481
"Marion County, Florida",Marion County,Latin America,Latin America,Latin America,Florida,0.000821866,18439,1,18400,22435500,22435537,329725481
"Marion County, Florida",Marion County,Latvia,Latvia,Latvia,Florida,0,0,1,,23100,23070,329725481
"Marion County, Florida",Marion County,Lebanon,Lebanon,Lebanon,Florida,0.00201479,267,1,,132500,132520,329725481
"Marion County, Florida",Marion County,Liberia,Liberia,Liberia,Florida,0,0,1,,95300,95254,329725481
"Marion County, Florida",Marion County,Lithuania,Lithuania,Lithuania,Florida,0.000381031,13,1,,34100,34118,329725481
"Marion County, Florida",Marion County,MENA: Middle East* and North Africa,MENA: Middle East* and North Africa,MENA: Middle East* and North Africa,Florida,0.000346388,426,1,,1229800,1229834,329725481
"Marion County, Florida",Marion County,Macedonia,Macedonia,Macedonia,Florida,0,0,1,,27700,27747,329725481
"Marion County, Florida",Marion County,Malaysia,Malaysia,Malaysia,Florida,0.000579039,47,1,,81200,81169,329725481
"Marion County, Florida",Marion County,Mexico,Mexico,Mexico,Florida,0.000236953,2571,1,2600,10850300,10850260,329725481
"Marion County, Florida",Marion County,Micronesia,Micronesia,Micronesia,Florida,0,0,1,,30900,30920,329725481
"Marion County, Florida",Marion County,Middle Africa,Middle Africa,Middle Africa,Florida,0,0,1,,183800,183786,329725481
"Marion County, Florida",Marion County,Moldova,Moldova,Moldova,Florida,0,0,1,,52100,52107,329725481
"Marion County, Florida",Marion County,Morocco,Morocco,Morocco,Florida,0.000533291,47,1,,88100,88132,329725481
"Marion County, Florida",Marion County,Myanmar (Burma),Myanmar (Burma),Myanmar (Burma),Florida,0,0,1,,156000,155955,329725481
"Marion County, Florida",Marion County,Nepal,Nepal,Nepal,Florida,0,0,1,,153900,153937,329725481
"Marion County, Florida",Marion County,Netherlands,Netherlands,Netherlands,Florida,0.001510969,127,1,,84100,84052,329725481
"Marion County, Florida",Marion County,Nicaragua,Nicaragua,Nicaragua,Florida,0.002019038,501,1,,248100,248138,329725481
"Marion County, Florida",Marion County,Nigeria,Nigeria,Nigeria,Florida,7.31E-05,29,1,,396600,396630,329725481
"Marion County, Florida",Marion County,Northern Africa,Northern Africa,Northern Africa,Florida,0.000139618,57,1,,408300,408257,329725481
"Marion County, Florida",Marion County,Northern America,Northern America,Northern America,Florida,0.00129438,1072,1,1100,828200,828196,329725481
"Marion County, Florida",Marion County,Northern Europe,Northern Europe,Northern Europe,Florida,0.002467447,2356,1,2400,954800,954833,329725481
"Marion County, Florida",Marion County,"Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras",Florida,0.000349817,1083,1,1100,3095900,3095903,329725481
"Marion County, Florida",Marion County,Norway,Norway,Norway,Florida,0,0,1,,22100,22052,329725481
"Marion County, Florida",Marion County,Oceania,Oceania,Oceania,Florida,0.000297513,86,1,,289100,289063,329725481
"Marion County, Florida",Marion County,Other Middle Africa,Other Middle Africa,Other Middle Africa,Florida,1,10,1,,0,10,329725481
"Marion County, Florida",Marion County,Pakistan,Pakistan,Pakistan,Florida,4.66E-05,18,1,,386400,386353,329725481
"Marion County, Florida",Marion County,Panama,Panama,Panama,Florida,0.003633473,384,1,,105700,105684,329725481
"Marion County, Florida",Marion County,Peru,Peru,Peru,Florida,0.000869697,402,1,,462200,462230,329725481
"Marion County, Florida",Marion County,Philippines,Philippines,the Philippines,Florida,0.000294472,585,1,,1986600,1986609,329725481
"Marion County, Florida",Marion County,Poland,Poland,Poland,Florida,0.000131234,55,1,,419100,419099,329725481
"Marion County, Florida",Marion County,Portugal,Portugal,Portugal,Florida,0.001725958,296,1,,171500,171499,329725481
"Marion County, Florida",Marion County,Romania,Romania,Romania,Florida,0.000743967,124,1,,166700,166674,329725481
"Marion County, Florida",Marion County,Russia,Russia,Russia,Florida,0.000152123,62,1,,407600,407564,329725481
"Marion County, Florida",Marion County,Saudi Arabia,Saudi Arabia,Saudi Arabia,Florida,0.000130596,9,1,,68900,68915,329725481
"Marion County, Florida",Marion County,Senegal,Senegal,Senegal,Florida,0,0,1,,31600,31620,329725481
"Marion County, Florida",Marion County,Serbia,Serbia,Serbia,Florida,0,0,1,,40500,40543,329725481
"Marion County, Florida",Marion County,Sierra Leone,Sierra Leone,Sierra Leone,Florida,0,0,1,,45200,45198,329725481
"Marion County, Florida",Marion County,Singapore,Singapore,Singapore,Florida,0,0,1,,35700,35722,329725481
"Marion County, Florida",Marion County,Somalia,Somalia,Somalia,Florida,0,0,1,,99900,99941,329725481
"Marion County, Florida",Marion County,South Africa,South Africa,South Africa,Florida,0.002330331,259,1,,111100,111143,329725481
"Marion County, Florida",Marion County,South America,South America,South America,Florida,0.001830621,6373,1,6400,3481300,3481333,329725481
"Marion County, Florida",Marion County,South Central Asia,South Central Asia,South Central Asia,Florida,0.000260241,1099,1,1100,4223000,4223004,329725481
"Marion County, Florida",Marion County,South Eastern Asia,South Eastern Asia,South Eastern Asia,Florida,0.00038266,1641,1,1600,4288400,4288398,329725481
"Marion County, Florida",Marion County,Southern Africa,Southern Africa,Southern Africa,Florida,0.002235457,259,1,,115900,115860,329725481
"Marion County, Florida",Marion County,Southern Europe,Southern Europe,Southern Europe,Florida,0.000981543,728,1,,741700,741689,329725481
"Marion County, Florida",Marion County,Spain,Spain,Spain,Florida,0.000440595,53,1,,120300,120292,329725481
"Marion County, Florida",Marion County,Sri Lanka,Sri Lanka,Sri Lanka,Florida,0,0,1,,54900,54882,329725481
"Marion County, Florida",Marion County,St. Vincent and the Grenadines,St. Vincent and the Grenadines,St. Vincent and the Grenadines,Florida,0,0,1,,23900,23936,329725481
"Marion County, Florida",Marion County,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,Florida,0.000201522,417,1,,2069300,2069258,329725481
"Marion County, Florida",Marion County,Sudan,Sudan,Sudan,Florida,0,0,1,,54800,54762,329725481
"Marion County, Florida",Marion County,Sweden,Sweden,Sweden,Florida,0.002316326,110,1,,47500,47489,329725481
"Marion County, Florida",Marion County,Switzerland,Switzerland,Switzerland,Florida,0.000321759,12,1,,37300,37295,329725481
"Marion County, Florida",Marion County,Syria,Syria,Syria,Florida,0.000330682,35,1,,105800,105842,329725481
"Marion County, Florida",Marion County,Taiwan,Taiwan,Taiwan,Florida,5.03E-05,19,1,,377800,377844,329725481
"Marion County, Florida",Marion County,Thailand,Thailand,Thailand,Florida,0.000605727,155,1,,255900,255891,329725481
"Marion County, Florida",Marion County,(All countries),Total immigrants,all countries,Florida,0.000644779,28915,1,28900,44844800,44844808,329725481
"Marion County, Florida",Marion County,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Florida,0.00233193,539,1,,231100,231139,329725481
"Marion County, Florida",Marion County,Turkey,Turkey,Turkey,Florida,0.000639425,85,1,,132900,132932,329725481
"Marion County, Florida",Marion County,Uganda,Uganda,Uganda,Florida,0,0,1,,32900,32934,329725481
"Marion County, Florida",Marion County,Ukraine,Ukraine,Ukraine,Florida,0,0,1,,373500,373476,329725481
"Marion County, Florida",Marion County,United Kingdom,United Kingdom,the United Kingdom,Florida,0.002373774,1685,1,1700,709800,709840,329725481
"Marion County, Florida",Marion County,Uruguay,Uruguay,Uruguay,Florida,0.000485201,25,1,,51500,51525,329725481
"Marion County, Florida",Marion County,Uzbekistan,Uzbekistan,Uzbekistan,Florida,0,0,1,,69400,69395,329725481
"Marion County, Florida",Marion County,Venezuela,Venezuela,Venezuela,Florida,0.003277593,1501,1,1500,458000,457958,329725481
"Marion County, Florida",Marion County,Vietnam,Vietnam,Vietnam,Florida,0.000472784,637,1,,1347300,1347339,329725481
"Marion County, Florida",Marion County,Western Africa,Western Africa,Western Africa,Florida,3.11E-05,29,1,,933900,933888,329725481
"Marion County, Florida",Marion County,Western Asia,Western Asia,Western Asia,Florida,0.000482273,574,1,,1190200,1190198,329725481
"Marion County, Florida",Marion County,Western Europe,Western Europe,Western Europe,Florida,0.001394592,1294,1,1300,927900,927870,329725481
"Marion County, Florida",Marion County,Yemen,Yemen,Yemen,Florida,0,0,1,,60900,60865,329725481
"Marion County, Florida",Marion County,Zimbabwe,Zimbabwe,Zimbabwe,Florida,0.000421278,11,1,,26100,26111,329725481
"Martin County, Florida",Martin County,Afghanistan,Afghanistan,Afghanistan,Florida,0,0,1,,118500,118496,329725481
"Martin County, Florida",Martin County,Africa,Africa,Africa,Florida,8.44E-05,209,1,,2477500,2477515,329725481
"Martin County, Florida",Martin County,Albania,Albania,Albania,Florida,0,0,1,,101400,101356,329725481
"Martin County, Florida",Martin County,Americas,Americas,Americas,Florida,0.000484746,11277,1,11300,23263700,23263733,329725481
"Martin County, Florida",Martin County,Argentina,Argentina,Argentina,Florida,0.000914444,180,1,,196800,196841,329725481
"Martin County, Florida",Martin County,Armenia,Armenia,Armenia,Florida,0,0,1,,95100,95130,329725481
"Martin County, Florida",Martin County,Asia,Asia,Asia,Florida,0.000120977,1690,1,1700,13969600,13969568,329725481
"Martin County, Florida",Martin County,Australia,Australia,Australia,Florida,3.05E-05,3,1,,98200,98216,329725481
"Martin County, Florida",Martin County,Australia and New Zealand Subregion,Australia and New Zealand Subregion,Australia and New Zealand Subregion,Florida,2.32E-05,3,1,,129400,129416,329725481
"Martin County, Florida",Martin County,Austria,Austria,Austria,Florida,0.002324144,94,1,,40400,40445,329725481
"Martin County, Florida",Martin County,Bahamas,Bahamas,Bahamas,Florida,0.000914939,32,1,,35000,34975,329725481
"Martin County, Florida",Martin County,Bangladesh,Bangladesh,Bangladesh,Florida,0,0,1,,259600,259597,329725481
"Martin County, Florida",Martin County,Barbados,Barbados,Barbados,Florida,0.00070552,38,1,,53900,53861,329725481
"Martin County, Florida",Martin County,Belarus,Belarus,Belarus,Florida,0,0,1,,70100,70143,329725481
"Martin County, Florida",Martin County,Belgium,Belgium,Belgium,Florida,0.001256533,44,1,,35000,35017,329725481
"Martin County, Florida",Martin County,Belize,Belize,Belize,Florida,0.000373462,17,1,,45500,45520,329725481
"Martin County, Florida",Martin County,Bolivia,Bolivia,Bolivia,Florida,0,0,1,,78800,78808,329725481
"Martin County, Florida",Martin County,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Florida,0,0,1,,107400,107368,329725481
"Martin County, Florida",Martin County,Brazil,Brazil,Brazil,Florida,0.000540335,278,1,,514500,514496,329725481
"Martin County, Florida",Martin County,Bulgaria,Bulgaria,Bulgaria,Florida,0,0,1,,74200,74181,329725481
"Martin County, Florida",Martin County,Cabo Verde,Cabo Verde,Cabo Verde,Florida,0,0,1,,42900,42925,329725481
"Martin County, Florida",Martin County,Cambodia,Cambodia,Cambodia,Florida,0,0,1,,148400,148389,329725481
"Martin County, Florida",Martin County,Cameroon,Cameroon,Cameroon,Florida,0,0,1,,76300,76277,329725481
"Martin County, Florida",Martin County,Canada,Canada,Canada,Florida,0.001708356,1399,1,1400,818900,818916,329725481
"Martin County, Florida",Martin County,Caribbean,Caribbean,Caribbean,Florida,0.000553464,2492,1,2500,4502600,4502553,329725481
"Martin County, Florida",Martin County,Central America,Central America,Central America,Florida,0.000356499,5152,1,5200,14451700,14451651,329725481
"Martin County, Florida",Martin County,"Central America, excluding Mexico","Central America, excluding Mexico","Central America, excl. Mexico",Florida,0.000836899,3014,1,3000,3601400,3601391,329725481
"Martin County, Florida",Martin County,Chile,Chile,Chile,Florida,0.000517301,54,1,,104400,104388,329725481
"Martin County, Florida",Martin County,China,China,China,Florida,0.000115436,325,1,,2815400,2815423,329725481
"Martin County, Florida",Martin County,"China, excluding Hong Kong and Taiwan","China, excluding Hong Kong and Taiwan","China, excl. Hong Kong and Taiwan",Florida,8.97E-05,197,1,,2197400,2197387,329725481
"Martin County, Florida",Martin County,"China, excluding Taiwan","China, excluding Taiwan","China, excl. Taiwan",Florida,0.000130047,317,1,,2437600,2437579,329725481
"Martin County, Florida",Martin County,Colombia,Colombia,Colombia,Florida,0.000547055,456,1,,833600,833554,329725481
"Martin County, Florida",Martin County,Congo,Congo,Congo,Florida,0,0,1,,32100,32128,329725481
"Martin County, Florida",Martin County,Costa Rica,Costa Rica,Costa Rica,Florida,0.001522422,145,1,,95200,95243,329725481
"Martin County, Florida",Martin County,Croatia,Croatia,Croatia,Florida,0,0,1,,38500,38451,329725481
"Martin County, Florida",Martin County,Cuba,Cuba,Cuba,Florida,0.000620623,815,1,,1313200,1313196,329725481
"Martin County, Florida",Martin County,Czechoslovakia (includes Czech Republic and Slovakia),Czechoslovakia (includes Czech Republic and Slovakia),Czechoslovakia (incl. Czech Republic & Slovakia),Florida,0.000302659,20,1,,66100,66081,329725481
"Martin County, Florida",Martin County,Democratic Republic of Congo (Zaire),Democratic Republic of Congo (Zaire),Democratic Republic of Congo (Zaire),Florida,0,0,1,,55700,55728,329725481
"Martin County, Florida",Martin County,Denmark,Denmark,Denmark,Florida,0.001632171,47,1,,28800,28796,329725481
"Martin County, Florida",Martin County,Dominica,Dominica,Dominica,Florida,0.000322675,11,1,,34100,34090,329725481
"Martin County, Florida",Martin County,Dominican Republic,Dominican Republic,Dominican Republic,Florida,0.000163176,196,1,,1201200,1201155,329725481
"Martin County, Florida",Martin County,Eastern Africa,Eastern Africa,Eastern Africa,Florida,0,0,1,,725200,725232,329725481
"Martin County, Florida",Martin County,Eastern Asia,Eastern Asia,Eastern Asia,Florida,7.93E-05,334,1,,4213200,4213150,329725481
"Martin County, Florida",Martin County,Eastern Europe,Eastern Europe,Eastern Europe,Florida,0.000349696,772,1,,2207600,2207629,329725481
"Martin County, Florida",Martin County,Ecuador,Ecuador,Ecuador,Florida,8.44E-05,39,1,,462200,462202,329725481
"Martin County, Florida",Martin County,Egypt,Egypt,Egypt,Florida,2.82E-05,6,1,,212900,212876,329725481
"Martin County, Florida",Martin County,El Salvador,El Salvador,El Salvador,Florida,0.000139689,195,1,,1396000,1395958,329725481
"Martin County, Florida",Martin County,Eritrea,Eritrea,Eritrea,Florida,0,0,1,,50600,50569,329725481
"Martin County, Florida",Martin County,Ethiopia,Ethiopia,Ethiopia,Florida,0,0,1,,266400,266439,329725481
"Martin County, Florida",Martin County,Europe,Europe,Europe,Florida,0.000606681,2939,1,2900,4844400,4844388,329725481
"Martin County, Florida",Martin County,Fiji,Fiji,Fiji,Florida,0,0,1,,46200,46174,329725481
"Martin County, Florida",Martin County,France,France,France,Florida,0.000773575,143,1,,184900,184856,329725481
"Martin County, Florida",Martin County,Germany,Germany,Germany,Florida,0.00076298,415,1,,543900,543920,329725481
"Martin County, Florida",Martin County,Ghana,Ghana,Ghana,Florida,0,0,1,,188200,188168,329725481
"Martin County, Florida",Martin County,Greece,Greece,Greece,Florida,0.000229644,28,1,,121900,121928,329725481
"Martin County, Florida",Martin County,Grenada,Grenada,Grenada,Florida,0,0,1,,36200,36182,329725481
"Martin County, Florida",Martin County,Guatemala,Guatemala,Guatemala,Florida,0.001944993,1976,1,2000,1015900,1015942,329725481
"Martin County, Florida",Martin County,Guyana,Guyana,Guyana,Florida,0.000146,41,1,,280800,280822,329725481
"Martin County, Florida",Martin County,Haiti,Haiti,Haiti,Florida,0.000828351,564,1,,680900,680871,329725481
"Martin County, Florida",Martin County,Honduras,Honduras,Honduras,Florida,0.000795318,544,1,,684000,684003,329725481
"Martin County, Florida",Martin County,Hong Kong,Hong Kong,Hong Kong,Florida,0.0004996,120,1,,240200,240192,329725481
"Martin County, Florida",Martin County,Hungary,Hungary,Hungary,Florida,0.000426946,28,1,,65600,65582,329725481
"Martin County, Florida",Martin County,India,India,India,Florida,0.000153289,411,1,,2681200,2681209,329725481
"Martin County, Florida",Martin County,Indonesia,Indonesia,Indonesia,Florida,0.00020434,20,1,,97900,97876,329725481
"Martin County, Florida",Martin County,Iran,Iran,Iran,Florida,7.40E-05,29,1,,391900,391865,329725481
"Martin County, Florida",Martin County,Iraq,Iraq,Iraq,Florida,0,0,1,,235100,235111,329725481
"Martin County, Florida",Martin County,Ireland,Ireland,Ireland,Florida,0.001119351,136,1,,121500,121499,329725481
"Martin County, Florida",Martin County,Israel,Israel,Israel,Florida,0.000313036,44,1,,140600,140559,329725481
"Martin County, Florida",Martin County,Italy,Italy,Italy,Florida,0.000575438,185,1,,321500,321494,329725481
"Martin County, Florida",Martin County,Jamaica,Jamaica,Jamaica,Florida,0.000913435,718,1,,786000,786044,329725481
"Martin County, Florida",Martin County,Japan,Japan,Japan,Florida,2.60E-05,9,1,,345500,345530,329725481
"Martin County, Florida",Martin County,Jordan,Jordan,Jordan,Florida,0,0,1,,87200,87215,329725481
"Martin County, Florida",Martin County,Kazakhstan,Kazakhstan,Kazakhstan,Florida,0,0,1,,33900,33918,329725481
"Martin County, Florida",Martin County,Kenya,Kenya,Kenya,Florida,0,0,1,,150900,150926,329725481
"Martin County, Florida",Martin County,Korea,Korea,Korea,Florida,0,0,1,,1035300,1035281,329725481
"Martin County, Florida",Martin County,Kuwait,Kuwait,Kuwait,Florida,0,0,1,,33700,33670,329725481
"Martin County, Florida",Martin County,Laos,Laos,Laos,Florida,0,0,1,,178200,178195,329725481
"Martin County, Florida",Martin County,Latin America,Latin America,Latin America,Florida,0.000440284,9878,1,9900,22435500,22435537,329725481
"Martin County, Florida",Martin County,Latvia,Latvia,Latvia,Florida,0.002167317,50,1,,23100,23070,329725481
"Martin County, Florida",Martin County,Lebanon,Lebanon,Lebanon,Florida,0.000128283,17,1,,132500,132520,329725481
"Martin County, Florida",Martin County,Liberia,Liberia,Liberia,Florida,0,0,1,,95300,95254,329725481
"Martin County, Florida",Martin County,Lithuania,Lithuania,Lithuania,Florida,0.000937921,32,1,,34100,34118,329725481
"Martin County, Florida",Martin County,MENA: Middle East* and North Africa,MENA: Middle East* and North Africa,MENA: Middle East* and North Africa,Florida,0.000106518,131,1,,1229800,1229834,329725481
"Martin County, Florida",Martin County,Macedonia,Macedonia,Macedonia,Florida,0,0,1,,27700,27747,329725481
"Martin County, Florida",Martin County,Malaysia,Malaysia,Malaysia,Florida,6.16E-05,5,1,,81200,81169,329725481
"Martin County, Florida",Martin County,Mexico,Mexico,Mexico,Florida,0.000197046,2138,1,2100,10850300,10850260,329725481
"Martin County, Florida",Martin County,Micronesia,Micronesia,Micronesia,Florida,0,0,1,,30900,30920,329725481
"Martin County, Florida",Martin County,Middle Africa,Middle Africa,Middle Africa,Florida,0,0,1,,183800,183786,329725481
"Martin County, Florida",Martin County,Moldova,Moldova,Moldova,Florida,0,0,1,,52100,52107,329725481
"Martin County, Florida",Martin County,Morocco,Morocco,Morocco,Florida,0.00073753,65,1,,88100,88132,329725481
"Martin County, Florida",Martin County,Myanmar (Burma),Myanmar (Burma),Myanmar (Burma),Florida,0,0,1,,156000,155955,329725481
"Martin County, Florida",Martin County,Nepal,Nepal,Nepal,Florida,0,0,1,,153900,153937,329725481
"Martin County, Florida",Martin County,Netherlands,Netherlands,Netherlands,Florida,0.001249227,105,1,,84100,84052,329725481
"Martin County, Florida",Martin County,Nicaragua,Nicaragua,Nicaragua,Florida,0.000257921,64,1,,248100,248138,329725481
"Martin County, Florida",Martin County,Nigeria,Nigeria,Nigeria,Florida,9.83E-05,39,1,,396600,396630,329725481
"Martin County, Florida",Martin County,Northern Africa,Northern Africa,Northern Africa,Florida,0.00017391,71,1,,408300,408257,329725481
"Martin County, Florida",Martin County,Northern America,Northern America,Northern America,Florida,0.001689214,1399,1,1400,828200,828196,329725481
"Martin County, Florida",Martin County,Northern Europe,Northern Europe,Northern Europe,Florida,0.001108047,1058,1,1100,954800,954833,329725481
"Martin County, Florida",Martin County,"Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras",Florida,0.000876965,2715,1,2700,3095900,3095903,329725481
"Martin County, Florida",Martin County,Norway,Norway,Norway,Florida,0.001315073,29,1,,22100,22052,329725481
"Martin County, Florida",Martin County,Oceania,Oceania,Oceania,Florida,1.04E-05,3,1,,289100,289063,329725481
"Martin County, Florida",Martin County,Other Middle Africa,Other Middle Africa,Other Middle Africa,Florida,1,10,1,,0,10,329725481
"Martin County, Florida",Martin County,Pakistan,Pakistan,Pakistan,Florida,0,0,1,,386400,386353,329725481
"Martin County, Florida",Martin County,Panama,Panama,Panama,Florida,0.000690738,73,1,,105700,105684,329725481
"Martin County, Florida",Martin County,Peru,Peru,Peru,Florida,0.000361292,167,1,,462200,462230,329725481
"Martin County, Florida",Martin County,Philippines,Philippines,the Philippines,Florida,0.000249168,495,1,,1986600,1986609,329725481
"Martin County, Florida",Martin County,Poland,Poland,Poland,Florida,0.000596518,250,1,,419100,419099,329725481
"Martin County, Florida",Martin County,Portugal,Portugal,Portugal,Florida,0,0,1,,171500,171499,329725481
"Martin County, Florida",Martin County,Romania,Romania,Romania,Florida,0.000179992,30,1,,166700,166674,329725481
"Martin County, Florida",Martin County,Russia,Russia,Russia,Florida,0.000441648,180,1,,407600,407564,329725481
"Martin County, Florida",Martin County,Saudi Arabia,Saudi Arabia,Saudi Arabia,Florida,0.000130596,9,1,,68900,68915,329725481
"Martin County, Florida",Martin County,Senegal,Senegal,Senegal,Florida,0,0,1,,31600,31620,329725481
"Martin County, Florida",Martin County,Serbia,Serbia,Serbia,Florida,0.000320647,13,1,,40500,40543,329725481
"Martin County, Florida",Martin County,Sierra Leone,Sierra Leone,Sierra Leone,Florida,0,0,1,,45200,45198,329725481
"Martin County, Florida",Martin County,Singapore,Singapore,Singapore,Florida,0,0,1,,35700,35722,329725481
